Tax ID,Active Per Last Reported Status,Last Reported Active Date,Officer First Name,Officer Last Name,Officer Race,Officer Gender,Current Rank Abbreviation,Current Rank,Current Command,Shield No,Total Complaints,Total Substantiated Complaints
848002,No,02/08/2001 06:12:23 PM,Allan,Hoehl,White,Male,CMS,Chiefs and other ranks,PBMS,00000,0,0
848008,No,08/11/2000 04:14:41 PM,Peter,Killen,White,Male,DTS,Detective,068 PCT,03704,0,0
848036,No,02/08/2001 06:12:23 PM,Edward,Mchugh,White,Male,DT1,Detective,DA BX,02101,0,0
848091,No,02/08/2001 06:12:23 PM,John,Regan,White,Male,POM,Police Officer,006 PCT,12895,0,0
848125,No,11/28/2000 04:05:53 PM,Martin,Turetzky,White,Male,SSA,Sergeant,EQP SEC,02759,0,0
848180,No,02/08/2001 06:12:23 PM,John,Beirne,White,Male,DC,Chiefs and other ranks,OFF/L R,00000,0,0
848203,No,02/08/2001 06:12:23 PM,George,Duke,White,Male,CPT,Captain,MC/SQD,00000,0,0
848349,No,02/08/2001 06:12:23 PM,Lawrence,Gallagher,White,Male,LT,Lieutenant,048 PCT,00000,0,0
848409,No,02/08/2001 06:12:23 PM,Joseph,Murphy,White,Male,DI,Deputy Inspector,CD OP/D,00000,0,0
848416,No,02/08/2001 06:12:23 PM,Joseph,Pagnello,White,Male,DT3,Detective,WARRSEC,04490,0,0
848419,No,04/19/2000 05:51:39 PM,Jesse,Peterman,White,Male,INS,Inspector,CD OFF,00000,0,0
848427,No,04/19/2000 05:51:39 PM,Joseph,Raguso,White,Male,AC,Chiefs and other ranks,PBBS,00000,0,0
848528,No,04/19/2000 05:51:39 PM,John,Connelly,White,Male,SSA,Sergeant,QAD 1DC,02978,0,0
848571,No,02/08/2001 06:12:23 PM,Philip,Druss,White,Male,LCD,Lieutenant,O C C B,00000,0,0
848658,No,02/08/2001 06:12:23 PM,Edward,Keevan,White,Male,DT1,Detective,100 DET,01980,1,0
848730,No,02/08/2001 06:12:23 PM,William,Oconnor,White,Male,LCD,Lieutenant,MNROBSQ,00000,0,0
848737,No,02/08/2001 06:12:23 PM,Leonard,Parr,White,Male,DT1,Detective,DB MSHM,02398,1,0
848758,No,02/08/2001 06:12:23 PM,James,Robert,White,Male,LT,Lieutenant,PBMS TF,00000,0,0
848777,No,09/14/2000 08:59:14 AM,Henry,Schaaff,White,Male,DI,Deputy Inspector,I.A.B.,00000,0,0
848900,No,02/08/2001 06:12:23 PM,John,Breslin,White,Male,CPT,Captain,S O D,00000,0,0
848953,No,04/19/2000 05:51:39 PM,Antonio,Diaz,Hispanic,Male,LSA,Lieutenant,POL ACD,00000,0,0
849056,No,02/08/2001 06:12:23 PM,Richard,Kiernan,White,Male,LT,Lieutenant,017 PCT,00000,0,0
849088,No,02/08/2001 06:12:23 PM,Thomas,Mccabe,White,Male,DT1,Detective,DBMNHTF,01456,0,0
849107,No,09/14/2000 08:59:14 AM,Michael,Markman,White,Male,CPB,Inactive Ranks,PER BUR,00000,0,0
849192,No,04/19/2000 05:41:39 PM,Stanley,Schiffman,White,Male,DT1,Detective,047 DET,03722,0,0
849223,No,02/08/2001 06:12:23 PM,John,Tansey,White,Male,SGT,Sergeant,DA BKN,02825,0,0
849274,No,02/08/2001 06:12:23 PM,William,Allee,White,Male,CD,Inactive Ranks,DET BUR,00000,0,0
849276,No,04/19/2000 05:41:39 PM,Edward,Anderson,White,Male,LT,Lieutenant,112 PCT,00000,0,0
849301,No,04/19/2000 05:51:39 PM,Patrick,Brady,White,Male,SGT,Sergeant,MOUNTED,00452,0,0
849378,No,02/08/2001 06:12:23 PM,Brendan,Dowling,White,Male,LCD,Lieutenant,052 DET,00000,0,0
849426,No,04/19/2000 05:41:39 PM,Charles,Girven,White,Male,SGT,Sergeant,ESS 03,01963,0,0
849477,No,02/08/2001 06:12:23 PM,Edmund,Keane,White,Male,SDS,Sergeant,DA BX,02364,1,0
849559,No,02/08/2001 06:12:23 PM,John,Moore,White,Male,DT2,Detective,HWY DST,02054,0,0
849582,No,04/19/2000 05:51:39 PM,Robert,Odonnell,White,Male,DT1,Detective,101 DET,03950,0,0
849650,No,06/26/2000 05:46:32 PM,James,Schry,White,Male,DT1,Detective,013 DET,00620,0,0
849686,No,01/05/2001 05:15:39 PM,Joseph,Tursellino,White,Male,SGT,Sergeant,075 PCT,01162,0,0
849702,No,04/19/2000 05:41:39 PM,Victor,Werbkay,White,Male,DI,Deputy Inspector,MED DIV,00000,0,0
849732,No,04/19/2000 05:41:39 PM,Ludwick,Hall,Black,Male,LCD,Lieutenant,I.A.B.,00000,0,0
849765,No,02/08/2001 06:12:23 PM,Harold,Bauser,White,Male,POM,Police Officer,PBQ/S,06971,0,0
849812,No,02/08/2001 06:12:23 PM,Ramon,Calvo,Hispanic,Male,SGT,Sergeant,O M A P,00722,0,0
849833,No,04/19/2000 05:51:39 PM,Robert,Cividanes,White,Male,DI,Deputy Inspector,DB QNS,00000,0,0
849897,No,04/19/2000 05:41:39 PM,Stephen,Donnelly,White,Male,CPT,Captain,PBQ/S,00000,0,0
850046,No,08/11/2000 04:14:41 PM,John,Kempski,White,Male,POM,Police Officer,079 PCT,16083,0,0
850049,No,01/16/2001 05:49:10 PM,Vincent,Kennedy,White,Male,INS,Inspector,HWY DST,00000,0,0
850082,No,02/08/2001 06:12:23 PM,Kenneth,Leuck,White,Male,DT1,Detective,045 DET,00623,0,0
850138,No,02/08/2001 06:12:23 PM,Anthony,Marra,White,Male,DC,Chiefs and other ranks,PBSI,00000,0,0
850165,No,02/26/2001 05:31:28 PM,Gerald,Mines,White,Male,CPT,Captain,TB QNS,00000,0,0
850166,No,02/08/2001 06:12:23 PM,John,Moakley,White,Male,DC,Chiefs and other ranks,I.A.B.,00000,0,0
850234,No,04/19/2000 05:51:39 PM,Pasquale,Petrino,White,Male,CPT,Captain,BX/N-ND,00000,0,0
850291,No,02/08/2001 06:12:23 PM,Matthew,Santoro,White,Male,DT1,Detective,PBSI DO,00571,1,1
850423,No,02/08/2001 06:12:23 PM,Kenneth,Becker,White,Male,LCD,Lieutenant,O C I D,00000,0,0
850425,No,04/19/2000 05:51:39 PM,Charles,Beehn,White,Male,DI,Deputy Inspector,TRF CD,00000,0,0
850478,No,01/05/2001 05:15:39 PM,Alfred,Castagna,White,Male,LT,Lieutenant,I.A.B.,00000,0,0
850605,No,02/08/2001 06:12:23 PM,Kevin,Gilmartin,White,Male,INS,Inspector,I.A.B.,00000,0,0
850645,No,04/19/2000 05:41:39 PM,Patrick,Hughes,White,Male,SDS,Sergeant,I.A.B.,01291,0,0
850651,No,01/16/2001 05:49:10 PM,Ronald,Jacobs,White,Male,LT,Lieutenant,PBSI,00000,0,0
850707,No,01/16/2001 05:49:10 PM,William,Looney,White,Male,SGT,Sergeant,049 PCT,02204,0,0
850866,No,09/14/2000 08:59:14 AM,John,Scanlon,White,Male,COP,Inactive Ranks,P S B,00000,0,0
850923,No,02/08/2001 06:12:23 PM,Anthony,Vitaliano,White,Male,LCD,Lieutenant,BXROBSQ,00000,0,0
850938,No,02/08/2001 06:12:23 PM,John,White,White,Male,DC,Chiefs and other ranks,PBQ/S,00000,0,0
851053,No,08/11/2000 04:14:41 PM,Gilbert,Byrnes,White,Male,POM,Police Officer,113 PCT,24390,0,0
851114,No,04/19/2000 05:51:39 PM,Ross,Dimiceli,White,Male,SSA,Sergeant,H MAN,01648,0,0
851182,No,06/26/2000 05:46:32 PM,David,Hayes,White,Male,DTS,Detective,E S U,00324,0,0
851207,No,02/08/2001 06:12:23 PM,Joseph,Jacina,White,Male,LT,Lieutenant,104 PCT,00000,0,0
851297,No,02/08/2001 06:12:23 PM,Frederick,Miller,White,Male,POM,Police Officer,109 PCT,24638,1,0
851352,No,09/14/2000 08:59:14 AM,William,Parchen,White,Male,DT3,Detective,DB BXHM,03445,0,0
851532,No,02/08/2001 06:12:23 PM,Leonard,Fox,White,Male,SRG,Inactive Ranks,MED DIV,00000,0,0
851544,No,02/08/2001 06:12:23 PM,Robert,Allen,White,Male,SGT,Sergeant,HWY 03,01693,0,0
851585,No,02/08/2001 06:12:23 PM,Howard,Brewer,White,Male,LT,Lieutenant,OFSCSRG,00000,0,0
851587,No,02/08/2001 06:12:23 PM,Frederick,Britton,White,Male,INS,Inspector,DB QNS,00000,0,0
851693,No,02/08/2001 06:12:23 PM,William,Giblin,White,Male,LT,Lieutenant,CI&RDIV,00000,0,0
851756,No,06/26/2000 05:46:32 PM,Anthony,Kissik,White,Male,INS,Inspector,PBMN,00000,0,0
851778,No,08/11/2000 04:14:41 PM,Walter,Loheide,White,Male,POM,Police Officer,HWY 03,05584,0,0
851828,No,04/19/2000 05:41:39 PM,Edward,Monks,White,Male,SDS,Sergeant,043 DET,00883,0,0
851831,No,02/08/2001 06:12:23 PM,William,Morange,White,Male,COP,Inactive Ranks,P S B,00000,0,0
851865,No,08/11/2000 04:14:41 PM,Joseph,Palumbo,White,Male,POM,Police Officer,073 PCT,07387,0,0
851898,No,02/08/2001 06:12:23 PM,Robert,Rodenburg,White,Male,DT1,Detective,066 DET,01950,0,0
851990,No,02/08/2001 06:12:23 PM,George,Macgregor,White,Male,DTS,Detective,061 PCT,01573,0,0
852008,No,02/08/2001 06:12:23 PM,Patrick,Boyle,White,Male,CPT,Captain,SATDOPS,00000,0,0
852041,No,04/19/2000 05:41:39 PM,Edward,Garnar,White,Male,SGT,Sergeant,111 DET,03312,0,0
852071,No,02/08/2001 06:12:23 PM,George,Lotakis,White,Male,SSA,Sergeant,COMMDIV,02388,0,0
852078,No,02/08/2001 06:12:23 PM,George,Mcdougall,White,Male,DT2,Detective,108 DET,03938,0,0
852091,No,09/14/2000 08:59:14 AM,James,Morrisroe,White,Male,DI,Deputy Inspector,SATHOPS,00000,0,0
852224,No,01/10/2006 07:22:51 AM,Michael,Gardner,White,Male,INS,Inspector,DB BX,00000,0,0
852246,No,04/19/2000 05:51:39 PM,Joseph,Lovelock,White,Male,DI,Deputy Inspector,PBBS,00000,0,0
852251,No,02/08/2001 06:12:23 PM,John,Maderik,White,Male,POM,Police Officer,HWY 03,15365,0,0
852302,No,04/19/2000 05:51:39 PM,Michael,Duffy,White,Male,CPT,Captain,ND NMI,00000,0,0
852315,No,02/08/2001 06:12:23 PM,Anthony,Angotti,White,Male,DT1,Detective,DB BSHM,00286,0,0
852373,No,02/08/2001 06:12:23 PM,John,Deamara,White,Male,LT,Lieutenant,PSA 3,00000,0,0
852417,No,02/08/2001 06:12:23 PM,Anthony,Garofalo,White,Male,POM,Police Officer,070 PCT,12139,0,0
852433,No,02/08/2001 06:12:23 PM,Charles,Gunther,White,Male,DC,Chiefs and other ranks,PBMN,00000,0,0
852450,No,04/19/2006 06:06:43 PM,Robert,Henning,White,Male,DT1,Detective,114 DET,02045,2,0
852506,No,06/26/2000 05:46:32 PM,Thomas,Mckenna,White,Male,DT1,Detective,DBMNHTF,01868,0,0
852620,No,09/14/2000 08:59:14 AM,Kevin,Sheil,White,Male,POM,Police Officer,HWY 01,19254,0,0
852644,No,02/08/2001 06:12:23 PM,Martin,Sweeney,White,Male,LCD,Lieutenant,JB/R/TF,00000,0,0
852708,No,02/08/2001 06:12:23 PM,George,Boefer,White,Male,DT2,Detective,SP FRDS,03468,0,0
852714,No,02/08/2001 06:12:23 PM,William,Brockmeyer,White,Male,DT2,Detective,SP FRDS,01564,0,0
852788,No,02/08/2001 06:12:23 PM,Donald,Feser,White,Male,INS,Inspector,TRF/MTF,00000,0,0
852805,No,02/08/2001 06:12:23 PM,Michael,Giacoppi,White,Male,LT,Lieutenant,F.T.S.,00000,0,0
852815,No,11/28/2000 04:05:53 PM,Thomas,Green,White,Male,DC,Chiefs and other ranks,DET BUR,00000,0,0
852822,No,02/08/2001 06:12:23 PM,John,Hanrahan,White,Male,POM,Police Officer,E S U,16851,0,0
852867,No,09/14/2000 08:59:14 AM,William,Latour,White,Male,LT,Lieutenant,HWY 02,00000,0,0
852873,No,04/19/2000 05:41:39 PM,Gerald,Longarzo,White,Male,SGT,Sergeant,WARRSEC,03077,0,0
852913,No,02/08/2001 06:12:23 PM,Mario,Martino,White,Male,DT2,Detective,108 DET,03675,0,0
852926,No,02/08/2001 06:12:23 PM,Joseph,Montuori,White,Male,DT1,Detective,034 DET,03790,0,0
852955,No,04/19/2000 05:51:39 PM,Richard,Piercynski,White,Male,SGT,Sergeant,MTN PCT,03548,0,0
852986,No,02/08/2001 06:12:23 PM,Gerard,Rosato,White,Male,SGT,Sergeant,CPK PCT,01441,0,0
853010,No,04/19/2000 05:51:39 PM,Francis,Smith,White,Male,INS,Inspector,PB EMD,00000,0,0
853056,No,04/19/2000 05:51:39 PM,Robert,Williams,White,Male,SGT,Sergeant,026 PCT,02636,0,0
853060,No,02/08/2001 06:12:23 PM,James,Wrynn,White,Male,INS,Inspector,COMMDIV,00000,0,0
853061,No,02/08/2001 06:12:23 PM,Henry,Xiques,White,Male,POM,Police Officer,105 PCT,24563,0,0
853145,No,09/14/2000 08:59:14 AM,William,Cronin,White,Male,POM,Police Officer,MAN CT,11590,0,0
853172,No,02/08/2001 06:12:23 PM,Charles,Doonan,White,Male,DI,Deputy Inspector,PBQ/S,00000,0,0
853184,No,02/08/2001 06:12:23 PM,Philip,Erickson,White,Male,DC,Chiefs and other ranks,P S B,00000,0,0
853185,No,04/19/2000 05:51:39 PM,Donald,Faherty,White,Male,INS,Inspector,QAD 1DC,00000,0,0
853186,No,06/14/2005 07:27:03 AM,Thomas,Fahey,White,Male,AC,Chiefs and other ranks,DB MAN,00000,0,0
853213,No,08/11/2000 04:14:41 PM,James,Guzman,Hispanic,Male,DT2,Detective,CRM REC,00430,0,0
853258,No,04/19/2000 05:41:39 PM,Charles,Kulaka,White,Male,LT,Lieutenant,I.A.B.,00000,0,0
853263,No,02/08/2001 06:12:23 PM,Thomas,Lawless,White,Male,AC,Chiefs and other ranks,PBQ/S,00000,0,0
853407,No,09/02/2006 02:11:13 PM,Richard,Slaninka,White,Male,POM,Police Officer,MTS PCT,16363,0,0
853491,No,04/19/2000 05:51:39 PM,John,Gorman,White,Male,CPT,Captain,DA BX,00000,0,0
853506,No,02/08/2001 06:12:23 PM,Edward,Mezzadri,White,Male,INS,Inspector,PBBS,00000,0,0
853694,No,02/08/2001 06:12:23 PM,James,Poltorak,White,Male,LT,Lieutenant,LDS TRN,00000,0,0
853698,No,02/08/2001 06:12:23 PM,Robert,Reekie,White,Male,SDS,Sergeant,INT EPU,02576,0,0
853708,No,03/01/2005 03:47:49 PM,Guenther,Rupprecht,White,Male,DT3,Detective,049 DET,00287,0,0
853860,No,02/08/2001 06:12:23 PM,Fortunato,Deluca,White,Male,SDS,Sergeant,SP INV,02470,0,0
853892,No,01/10/2006 07:22:51 AM,Joseph,Ferrara,White,Male,LCD,Lieutenant,075 DET,00000,0,0
853907,No,06/26/2000 05:46:32 PM,William,Gerhardt,White,Male,DT3,Detective,041 DET,00777,0,0
853931,No,04/19/2000 05:51:39 PM,John,Harkins,White,Male,DC,Chiefs and other ranks,PBBS,00000,0,0
853939,No,06/26/2000 05:46:32 PM,Peter,Hewitson,White,Male,LT,Lieutenant,HWY 03,00000,0,0
853945,No,02/08/2001 06:12:23 PM,John,Hudson,White,Male,INS,Inspector,LIC DIV,00000,0,0
853951,No,07/13/2005 05:03:24 PM,William,Johnson,White,Male,LSA,Lieutenant,POL PEN,00000,0,0
853958,No,09/14/2000 08:59:14 AM,George,Kelly,White,Male,INS,Inspector,FLT SVC,00000,0,0
853978,No,02/08/2001 06:12:23 PM,Peter,Leuck,White,Male,POM,Police Officer,044 PCT,25215,0,0
854057,No,02/08/2001 06:12:23 PM,Thomas,Omalley,White,Male,POM,Police Officer,045 PCT,25295,0,0
854099,No,06/14/2005 07:27:03 AM,Thomas,Scotto,White,Male,DT2,Detective,PBSI DO,00001,0,0
854122,No,01/16/2001 05:49:10 PM,John,Stendrini,White,Male,DI,Deputy Inspector,T.A.R.U,00000,0,0
854133,No,02/08/2001 06:12:23 PM,William,Taylor,White,Male,AC,Chiefs and other ranks,DB MAN,00000,0,0
854230,No,02/08/2001 06:12:23 PM,Patrick,Biggins,White,Male,INS,Inspector,DET BUR,00000,0,0
854304,No,04/19/2000 05:51:39 PM,Robert,Grasing,White,Male,CPT,Captain,FUG ENF,00000,0,0
854322,No,01/05/2001 05:15:39 PM,William,Jackson,Black,Male,DT1,Detective,CD OFF,00235,0,0
854340,No,04/19/2000 05:51:39 PM,William,Lakis,White,Male,LT,Lieutenant,SOD T/U,00000,0,0
854344,No,08/11/2000 04:14:41 PM,Richard,Lehan,White,Male,DT1,Detective,JB/R/TF,04133,0,0
854385,No,02/08/2001 06:12:23 PM,Robert,Morgan,White,Male,CPT,Captain,PBQ/N,00000,0,0
854393,No,02/08/2001 06:12:23 PM,Thomas,Nerney,White,Male,DT1,Detective,MC/SQD,03102,0,0
854410,No,10/20/2006 04:08:09 PM,Phillip,Panzarella,White,Male,LCD,Lieutenant,C C A S,00000,0,0
854442,No,02/08/2001 06:12:23 PM,John,Russo,White,Male,DT1,Detective,T.A.R.U,02855,0,0
854447,No,02/08/2001 06:12:23 PM,Gunars,Savickis,White,Male,SGT,Sergeant,A P DIV,01507,0,0
854460,No,02/08/2001 06:12:23 PM,Christophe,Short,White,Male,POM,Police Officer,073 PCT,25717,0,0
854468,No,04/19/2000 05:51:39 PM,Stephen,Stachlik,White,Male,DI,Deputy Inspector,DB BKLN,00000,0,0
854485,No,02/08/2001 06:12:23 PM,Albert,Walker,Black,Male,POM,Police Officer,028 PCT,25758,0,0
854500,No,06/26/2000 05:46:32 PM,Emil,Zancola,White,Male,LSA,Lieutenant,QAD 1DC,00000,0,0
854559,No,04/19/2006 06:06:43 PM,Walter,Bowden,White,Male,DT2,Detective,HWY DST,03848,0,0
854633,No,04/19/2006 06:06:43 PM,Robert,Decandia,White,Male,SSA,Sergeant,E S U,00724,1,0
854636,No,02/08/2001 06:12:23 PM,Thomas,Delpriore,White,Male,DT2,Detective,CD OP/D,04688,0,0
854680,No,02/08/2001 06:12:23 PM,Steven,Ferber,White,Male,LT,Lieutenant,061 PCT,00000,0,0
854686,No,02/08/2001 06:12:23 PM,James,Fitzpatrick,White,Male,LT,Lieutenant,078 PCT,00000,1,0
854699,No,04/19/2000 05:51:39 PM,Joseph,Galligan,White,Male,LT,Lieutenant,O C I D,00000,0,0
854710,No,02/08/2001 06:12:23 PM,Anthony,Geraci,White,Male,POM,Police Officer,076 PCT,13136,0,0
854711,No,02/08/2001 06:12:23 PM,Michael,Gervasi,White,Male,LCD,Lieutenant,D-E T/F,00000,0,0
854712,No,04/19/2000 05:41:39 PM,Joseph,Giarratano,White,Male,LT,Lieutenant,BM SEC,00000,0,0
854731,No,08/11/2000 04:14:41 PM,Wayne,Grossnickle,White,Male,CPT,Captain,PSB IES,00000,0,0
854807,No,09/14/2000 08:59:14 AM,Denis,Kmiec,White,Male,DTS,Detective,005 PCT,02510,0,0
854838,No,01/05/2001 05:15:39 PM,George,Lovaglio,White,Male,DTS,Detective,HWY 03,07019,0,0
854880,No,11/28/2000 04:05:53 PM,Richard,Martin,White,Male,DC,Chiefs and other ranks,P S B,00000,0,0
854899,No,07/28/2006 02:03:33 PM,Albert,Morabito,Hispanic,Male,SGT,Sergeant,HWY 03,03105,0,0
854942,No,02/08/2001 06:12:23 PM,Paul,Pace,White,Male,DT1,Detective,C C A S,00683,0,0
854971,No,02/08/2001 06:12:23 PM,William,Reckerdres,White,Male,SGT,Sergeant,QNS CT,03556,0,0
855001,No,02/08/2001 06:12:23 PM,James,Ryan,White,Male,LT,Lieutenant,CD IRS,00000,1,0
855034,No,02/08/2001 06:12:23 PM,John,Shatinsky,White,Male,LCD,Lieutenant,109 DET,00000,0,0
855052,No,04/19/2000 05:41:39 PM,George,Stamp,White,Male,LT,Lieutenant,PBBX,00000,0,0
855069,No,04/19/2000 05:51:39 PM,Michael,Tellone,White,Male,LT,Lieutenant,NAR DIV,00000,0,0
855077,No,08/11/2000 04:14:41 PM,John,Timberlake,White,Male,POM,Police Officer,052 PCT,25952,0,0
855138,No,02/08/2001 06:12:23 PM,James,Ward,White,Male,AC,Chiefs and other ranks,SAT B/N,00000,0,0
855156,No,02/08/2001 06:12:23 PM,Robert,Anschick,White,Male,INS,Inspector,I.A.B.,00000,0,0
855172,No,02/08/2001 06:12:23 PM,Michael,Bramble,Black,Male,LCD,Lieutenant,DB BX,00000,0,0
855222,No,02/08/2001 06:12:23 PM,Frederick,Derenthal,White,Male,LT,Lieutenant,PBMS,00000,0,0
855268,No,02/08/2001 06:12:23 PM,Bernard,Gillespie,White,Male,CPT,Captain,DB QNS,00000,0,0
855315,No,06/26/2000 05:46:32 PM,John,Kempisty,White,Male,POM,Police Officer,PBQ/S,04566,0,0
855328,No,08/11/2000 04:14:41 PM,Ronald,Lattanzio,White,Male,DT1,Detective,PBBS,03291,0,0
855380,No,01/16/2001 05:49:10 PM,Walter,Meenan,White,Male,DT3,Detective,O T S D,01261,0,0
855401,No,02/08/2001 06:12:23 PM,David,Nadel,White,Male,LSA,Lieutenant,CD OFF,00000,0,0
855423,No,02/08/2001 06:12:23 PM,James,Pagano,White,Male,LT,Lieutenant,052 PCT,00000,0,0
855442,No,08/11/2000 04:14:41 PM,Anthony,Ramonas,Hispanic,Male,POM,Police Officer,083 PCT,08719,0,0
855461,No,01/05/2001 05:15:39 PM,Peter,Sarkus,White,Male,LT,Lieutenant,AUX P.S,00000,0,0
855471,No,02/08/2001 06:12:23 PM,William,Seidenstein,White,Male,LCD,Lieutenant,DA BKN,00000,0,0
855476,No,02/08/2001 06:12:23 PM,William,Silvestri,White,Male,POM,Police Officer,PBBS TF,09364,0,0
855566,No,02/08/2001 06:12:23 PM,Curt,Wargo,White,Male,CPT,Captain,E S U,00000,0,0
855612,No,02/08/2001 06:12:23 PM,Luther,Barnes,Black,Male,SDS,Sergeant,023 DET,03152,0,0
855626,No,01/16/2001 05:49:10 PM,Gary,Borman,White,Male,LT,Lieutenant,BX/S-ND,00000,0,0
855710,No,08/11/2000 04:14:41 PM,John,Devine,White,Male,SGT,Sergeant,MC/SQD,02770,0,0
855776,No,04/19/2000 05:41:39 PM,Roger,Gibson,Black,Male,DT3,Detective,WARRSEC,01835,0,0
855804,No,02/08/2001 06:12:23 PM,Joseph,Heffernan,White,Male,LCD,Lieutenant,DB BNHM,00000,0,0
855818,No,04/19/2000 05:51:39 PM,Ronald,House,White,Male,DT2,Detective,VED BX,02079,0,0
855834,No,02/08/2001 06:12:23 PM,David,Kalin,White,Male,SGT,Sergeant,QNS CT,01828,0,0
855885,No,08/11/2000 04:14:41 PM,John,Mccarthy,White,Male,DT1,Detective,044 DET,00357,0,0
855886,No,02/08/2001 06:12:23 PM,Arthur,Mccormick,White,Male,DT2,Detective,DB LPS,00952,0,0
855889,No,09/14/2000 08:59:14 AM,Eugene,Mcdonald,White,Male,POM,Police Officer,050 PCT,14084,0,0
855904,No,12/19/2000 03:26:36 PM,Francis,Macintosh,White,Male,SGT,Sergeant,QAD 1DC,02815,0,0
856144,No,04/19/2000 05:41:39 PM,Joseph,Wodarski,White,Male,DI,Deputy Inspector,CI&RDIV,00000,0,0
856189,No,12/04/2008 12:41:20 PM,Lowell,Stahl,White,Male,AC,Chiefs and other ranks,P C O,00000,0,0
856193,No,04/19/2000 05:51:39 PM,Robert,King,White,Male,CPT,Captain,PBMN,00000,0,0
856198,No,06/14/2005 07:27:03 AM,Michael,Mccarty,White,Male,LT,Lieutenant,QA DCSI,00000,0,0
856257,No,02/08/2001 06:12:23 PM,Michael,Brady,White,Male,LSA,Lieutenant,PBMN TF,00000,0,0
856283,No,02/08/2001 06:12:23 PM,Arthur,Cardaio,White,Male,SGT,Sergeant,INSUPDV,00460,0,0
856305,No,02/08/2001 06:12:23 PM,James,Conrad,White,Male,LT,Lieutenant,TB,00000,0,0
856306,No,01/05/2001 05:15:39 PM,Michael,Conroy,White,Male,SDS,Sergeant,DB QNHM,02116,0,0
856314,No,07/13/2005 05:03:24 PM,John,Cronin,White,Male,DC,Chiefs and other ranks,PBSI,00000,0,0
856339,No,02/08/2001 06:12:23 PM,Patrick,Devlin,White,Male,AC,Chiefs and other ranks,CRJ BUR,00000,0,0
856354,No,02/08/2001 06:12:23 PM,Lester,Eggleston,Black,Male,DT2,Detective,DB BX,00237,0,0
856356,No,02/08/2001 06:12:23 PM,Michael,Esposito,White,Male,DC,Chiefs and other ranks,PBMS,00000,2,0
856360,No,02/08/2001 06:12:23 PM,Aniello,Falanga,White,Male,DT2,Detective,DB LPS,00153,0,0
856376,No,02/08/2001 06:12:23 PM,Primo,Flores,Hispanic,Male,CPT,Captain,PBBS,00000,0,0
856381,No,02/22/2006 07:44:57 AM,Charles,Fries,White,Male,CPT,Captain,PBQ/S,00000,1,0
856399,No,02/08/2001 06:12:23 PM,John,Gilmartin,White,Male,INS,Inspector,TB QNS,00000,0,0
856403,No,04/19/2000 05:41:39 PM,Gilberto,Gomila,White,Male,LT,Lieutenant,P C C U,00000,0,0
856407,No,02/08/2001 06:12:23 PM,Stromme,Granville,Black,Male,LT,Lieutenant,PBMN,00000,0,0
856411,No,08/11/2000 04:14:41 PM,Richard,Green,White,Male,CPT,Captain,SIHU,00000,0,0
856428,No,02/08/2001 06:12:23 PM,William,Harvey,White,Male,POM,Police Officer,102 PCT,26223,0,0
856477,No,11/28/2000 04:05:53 PM,John,Kiernan,White,Male,LT,Lieutenant,023 PCT,00000,0,0
856489,No,04/19/2000 05:51:39 PM,Norman,Krinick,White,Male,SGT,Sergeant,POL ACD,02310,0,0
